id,ts_entry,city,market_id,question,date_str,days_ahead,unit,mb_max_model,mb_consensus,mb_n_models,mb_models_json,market_threshold,overshoot,market_type,no_ask_entry,no_bid_entry,yes_bid_entry,token_yes_id,token_no_id,roe_per_day,risk_distance,score,sim_stake,sim_tokens,stop_price,no_price_last,no_price_max,no_price_min,ticks_tracked,last_update,outcome,close_reason,ts_close,no_price_close,sim_pnl,sim_pnl_pct,is_sandbox
88,2026-03-16T01:01:43.784155,Chicago,0x76def55f55bf948545b7e7d7a2a5f14be6f2e9b74c2b5ba618b5155eaeba2797,Will the highest temperature in Chicago be 52°F or higher on March 18?,2026-03-18,2,F,26.21,23.05,12,"{""AIFS"": 24.81, ""GEM15"": 17.97, ""GFS"": 20.34, ""ICON"": 25.67, ""IFS"": 18.2, ""IFS-HR"": 18.26, ""ARPEGE"": 24.67, ""NAM12"": 26.21, ""NBM"": 23.75, ""NEMS"": 26.13, ""NEMS2"": 24.55, ""UKMO"": 26.1}",52.0,25.79,above_equal,0.968,0.959,0.032,103172065157707503657568657985450591109507545837292882555836497774344572739285,2661359923506890040138324879082375205387997189572863151929676550954939217481,1.65,25.79,161.637,5.0,5.1653,0.8228,0.996,0.998,0.959,26,2026-03-18T23:09:42.685868,WIN,EXPIRED_WIN,2026-03-19T01:22:14.533842,1.0,0.1653,3.31,0
89,2026-03-16T01:02:26.515011,Atlanta,0xce349ce19436ea7e8851e48c59dfcc345f0594b6387d9fe6857843c270126fa7,Will the highest temperature in Atlanta be 62°F or higher on March 18?,2026-03-18,2,F,40.56,34.4,12,"{""AIFS"": 35.22, ""GEM15"": 28.53, ""GFS"": 34.12, ""ICON"": 33.53, ""IFS"": 32.73, ""IFS-HR"": 32.83, ""ARPEGE"": 34.36, ""NAM12"": 37.78, ""NBM"": 35.89, ""NEMS"": 32.38, ""NEMS2"": 34.88, ""UKMO"": 40.56}",62.0,21.44,above_equal,0.95,0.851,0.05,62002701656906114875082176393909822286815050945821020146616400807990416606793,28698187328692991184376520404120628940308301054887268556339141923042201524593,2.63,21.44,132.245,5.0,5.2632,0.8075,0.999,0.999,0.852,26,2026-03-18T23:09:42.176962,WIN,EXPIRED_WIN,2026-03-19T01:22:14.421130,1.0,0.2632,5.26,0
91,2026-03-16T01:03:07.746544,Wellington,0x9beb18268ca78ba8778073e192b6512bd1e61f5a8578d2f3db4b258dc6394696,Will the highest temperature in Wellington be 23°C or higher on March 18?,2026-03-18,2,C,18.73,17.46,10,"{""AIFS"": 17.93, ""GEM15"": 18.68, ""GFS"": 16.64, ""ICON"": 18.01, ""IFS"": 18.18, ""IFS-HR"": 18.73, ""ARPEGE"": 18.17, ""NEMS"": 14.51, ""NEMS2"": 15.05, ""UKMO"": 18.69}",23.0,4.27,above_equal,0.944,0.923,0.056,5701117671302878913947638046384339525882604384378275503770103025157573229331,1701148508587532949981994091539924132392973312299398225057555496115498203469,2.97,4.27,37.603,5.0,5.2966,0.8024,0.999,0.999,0.912,22,2026-03-18T12:50:04.694589,WIN,EXPIRED_WIN,2026-03-19T01:22:14.142055,1.0,0.2966,5.93,1
92,2026-03-16T01:03:24.285284,Paris,0x87cbc640ec572494bf006ae6e2ba0a3813c52fe23d25e37f4d30b9bfeaa30389,Will the highest temperature in Paris be 22°C or higher on March 18?,2026-03-18,2,C,17.67,15.5,10,"{""AIFS"": 15.83, ""GEM15"": 14.99, ""GFS"": 14.66, ""ICON"": 16.89, ""IFS"": 14.57, ""IFS-HR"": 14.96, ""ARPEGE"": 13.81, ""NEMS"": 17.67, ""NEMS2"": 16.55, ""UKMO"": 15.09}",22.0,4.33,above_equal,0.973,0.956,0.027,92750159008855070214521741875438454165824613998147885816654392111247572384680,77408382963470587673971785157945250335321282059018918564991904254520891370312,1.39,4.33,38.423,5.0,5.1387,0.827,0.999,0.999,0.963,26,2026-03-18T23:09:39.171184,WIN,EXPIRED_WIN,2026-03-19T01:22:14.137031,1.0,0.1387,2.77,0
93,2026-03-16T01:03:41.262359,Lucknow,0x01de582c0228c382fe1d2d9945c9f87dd08dd7d242d262fb29ba5c9eae42e6d2,Will the highest temperature in Lucknow be 42°C on March 18?,2026-03-18,2,C,38.19,35.05,10,"{""AIFS"": 34.66, ""GEM15"": 33.12, ""GFS"": 37.72, ""ICON"": 35.54, ""IFS"": 35.14, ""IFS-HR"": 35.28, ""ARPEGE"": 34.92, ""NEMS"": 38.19, ""NEMS2"": 31.52, ""UKMO"": 34.45}",42.0,3.81,exact,0.995,0.991,0.005,84753624578652505257855130929071027332286405917011127445320405160280012649234,4479151886186291049456178826965726313075889678954688477428227847468402477556,0.25,3.81,26.85,5.0,5.0251,0.8458,0.999,0.999,0.991,25,2026-03-18T21:28:07.396502,WIN,EXPIRED_WIN,2026-03-19T01:22:13.900724,1.0,0.0251,0.5,0
94,2026-03-16T01:04:01.787205,Sao Paulo,0x37316756c94469242c360b7002e4d75ece1d17057520f1c64ab58c27f31720dc,Will the highest temperature in Sao Paulo be 33°C or higher on March 18?,2026-03-18,2,C,22.77,19.65,10,"{""AIFS"": 19.47, ""GEM15"": 18.68, ""GFS"": 18.9, ""ICON"": 19.96, ""IFS"": 18.81, ""IFS-HR"": 18.96, ""ARPEGE"": 19.37, ""NEMS"": 20.36, ""NEMS2"": 19.25, ""UKMO"": 22.77}",33.0,10.23,above_equal,0.938,0.91,0.062,84680258914636576251843570509700872970428430740951910046516570050635322677055,44457434902456686212382607704283267255132790769044145793167126492663125890182,3.3,10.23,118.95,5.0,5.3305,0.7973,0.999,0.999,0.907,26,2026-03-18T23:09:38.194191,WIN,EXPIRED_WIN,2026-03-19T01:22:13.758635,1.0,0.3305,6.61,1
95,2026-03-16T01:04:17.427745,Munich,0xe4e9dd8d8974eb911a989f1cc05a7bf4e09e09693a64cdea9340085da3b46764,Will the highest temperature in Munich be 15°C or higher on March 18?,2026-03-18,2,C,11.88,9.27,10,"{""AIFS"": 9.06, ""GEM15"": 6.37, ""GFS"": 6.94, ""ICON"": 10.07, ""IFS"": 11.88, ""IFS-HR"": 11.04, ""ARPEGE"": 7.94, ""NEMS"": 11.42, ""NEMS2"": 10.94, ""UKMO"": 7.02}",15.0,3.12,above_equal,0.929,0.881,0.071,78737648463752929067759514613136938640486628821562138422817458387172384186967,6897510665826416422924453475065366761999634709416085470244363586638367640953,3.82,3.12,20.57,5.0,5.3821,0.7897,0.999,0.999,0.928,26,2026-03-18T23:09:35.676832,WIN,EXPIRED_WIN,2026-03-19T01:22:13.437579,1.0,0.3821,7.64,0
96,2026-03-16T01:04:43.889736,Tokyo,0xa18f1b8d96807b54807efc12544fbebaeff0985ffa3c9675e2463fa5dc575242,Will the highest temperature in Tokyo be 19°C or higher on March 18?,2026-03-18,2,C,15.39,14.33,10,"{""AIFS"": 14.39, ""GEM15"": 12.98, ""GFS"": 14.73, ""ICON"": 15.26, ""IFS"": 13.83, ""IFS-HR"": 13.98, ""ARPEGE"": 15.39, ""NEMS"": 13.45, ""NEMS2"": 14.2, ""UKMO"": 15.1}",19.0,3.61,above_equal,0.97,0.89,0.03,69699763602004921113905000355365288727924088403390433115051852439755575970348,95571091450555367917611367203978840164533762427272295698769924662118393322207,1.55,3.61,29.683,5.0,5.1546,0.8245,0.999,0.999,0.89,23,2026-03-18T16:02:43.890868,WIN,EXPIRED_WIN,2026-03-19T01:22:13.274319,1.0,0.1546,3.09,0
97,2026-03-16T01:04:56.286139,Singapore,0x74d933ed4a63285627fc4bc7e80bfe3ae15b06fff574d0183dc09ae21d418f6a,Will the highest temperature in Singapore be 35°C or higher on March 18?,2026-03-18,2,C,32.78,30.05,10,"{""AIFS"": 31.23, ""GEM15"": 31.36, ""GFS"": 29.81, ""ICON"": 31.36, ""IFS"": 30.85, ""IFS-HR"": 30.5, ""ARPEGE"": 32.78, ""NEMS"": 25.86, ""NEMS2"": 26.5, ""UKMO"": 30.29}",35.0,2.22,above_equal,0.988,0.935,0.012,22163866994065637459497382466069700000728108408768682224006156620927225369926,77777571443499595608087921158961753210449590233150356618774388638648921743855,0.61,2.22,4.81,5.0,5.0607,0.8398,0.999,0.999,0.895,23,2026-03-18T16:02:41.357766,WIN,EXPIRED_WIN,2026-03-19T01:22:13.114944,1.0,0.0607,1.21,0
99,2026-03-16T03:00:00.182622,Toronto,0x39036d6412b1257a7ee7fced7b42f086fc811bebe4cfc9b7b18cca8118ddd281,Will the highest temperature in Toronto be 4°C or higher on March 18?,2026-03-18,2,C,-6.3,-7.86,12,"{""AIFS"": -8.13, ""GEM15"": -8.91, ""GFS"": -9.21, ""ICON"": -7.62, ""IFS"": -7.14, ""IFS-HR"": -6.67, ""ARPEGE"": -7.03, ""NAM12"": -6.92, ""NBM"": -6.3, ""NEMS"": -9.67, ""NEMS2"": -10.32, ""UKMO"": -6.44}",4.0,10.3,above_equal,0.96,0.79,0.04,107808797183171129006894158333300550647622621110369843894652702693182724752040,48929505304067904393421939991847389227480274803219267655905478563496774400367,2.08,10.3,117.913,5.0,5.2083,0.816,0.998,0.998,0.85,25,2026-03-18T23:09:34.177569,WIN,EXPIRED_WIN,2026-03-19T01:22:12.764690,1.0,0.2083,4.17,1
